table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 27th to 29th March 2020,Checked whether it was misleading with family and friends,183,83,100,,,,,,,,57,54,41,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,37,30,31,19,31
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 27th to 29th March 2020,Asked the person who forwarded/shared it with me whether it was accurate,93,42,52,,,,,,,,25,32,12,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,28,10,16,4,17
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 27th to 29th March 2020,Blocked it or reported it to a social media platform,105,51,54,,,,,,,,41,29,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,30,20,18,9,16
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 27th to 29th March 2020,Other,74,35,39,,,,,,,,31,16,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,7,21,15,19
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 27th to 29th March 2020,Did nothing,794,373,420,,,,,,,,213,238,169,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,163,157,119,113,138
Table 101,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,877,461,416,154,138,155,145,102,127,194,284,245,159,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,880,438,443,159,142,154,142,124*,115,187,268,237,194,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 19th to 21st June 2020,NET: Did anything,387,214,174,78,71,88,54,47,45,76,131,99,87,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Forwarded/ shared it with people I know,40,19,21,10,8,11,6,4,3,7,12,14,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Used a fact checking site or tools,126,77,48,19,18,29,15,23,17,23,47,32,20,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Used tips from media such as BBC website,86,55,31,24,21,17,10,8,11,16,45,17,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Checked whether it was misleading with family and friends,119,54,64,25,21,34,15,14,10,21,35,35,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Asked the person who forwarded/shared it with me whether it was accurate,65,41,24,10,9,24,9,6,4,13,23,19,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Blocked it or reported it to a social media platform,99,65,33,25,24,31,15,10,8,10,30,24,24,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Other,41,21,20,3,2,5,3,2,10,18,12,12,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 19th to 21st June 2020,Did nothing,493,224,269,81,71,66,88,77,70,111,137,138,108,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 106,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,1087,525,562,136,121,184,179,192,156,240,327,281,223,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 106,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,1093,535,558,160,141,190,171,174,158,239,320,292,227,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 106,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 7th to 9th August 2020,NET: Did anything,419,228,192,79,72,90,72,53,55,72,127,115,81,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 106,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Forwarded/ shared it with people I know,37,18,19,8,6,17,6,3,3,1,8,10,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 106,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Used a fact checking site or tools,134,74,60,29,27,23,23,19,19,22,37,38,26,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 106,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Used tips from media such as BBC website,87,57,30,18,16,20,17,8,11,13,24,23,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 106,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 7th to 9th August 2020,Checked whether it was misleading with family and friends,128,70,58,34,32,23,23,13,17,17,41,36,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
