table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 82,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 1st to 3rd May 2020,Snopes,42,21,21,3,3,3,10,11,5,9,15,11,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 1st to 3rd May 2020,Newsguard,24,19,5,5,5,9,4,4,-,1,11,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 1st to 3rd May 2020,Poynter Institute,5,2,3,-,-,4,-,1,-,-,2,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 1st to 3rd May 2020,Sense about science,23,16,7,4,4,8,4,3,-,3,8,6,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 1st to 3rd May 2020,Infotagion,11,7,4,1,1,6,2,1,-,-,6,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 1st to 3rd May 2020,First Draft News,8,5,3,*,*,2,4,2,-,-,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 1st to 3rd May 2020,Other,21,14,7,3,1,2,1,3,6,7,10,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 1st to 3rd May 2020,Cannot recall name,75,33,41,11,9,15,14,17,8,10,20,21,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,187,116,71,30,29,44,34,28,25,26,66,56,34,31,12,10,26,12,15,12,9,15,39,17,15,5,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,186,115,71*,34**,33**,46*,30*,24**,26**,27**,58*,61*,35*,31**,12**,11**,27**,12**,16**,10**,9**,15**,37*,17**,15**,4**,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 6th to 8th November 2020,Full Fact,56,39,17,11,11,15,14,6,6,4,19,24,7,6,3,4,10,2,6,3,2,3,14,4,3,-,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
