table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,About once a week,55,26,30,1,1,4,10,4,13,25,13,18,13,11,3,1,2,4,5,1,8,9,9,5,5,3,41,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,About once a month,25,13,12,1,-,2,3,1,9,9,3,10,5,7,4,-,2,1,4,-,-,3,3,4,3,-,21,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,2135,1044,1091,295,254,356,331,367,307,479,581,602,433,519,178,85*,236,174,186,153,101*,201,282,292,182,64*,1792,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,Less than once a month,54,24,30,*,*,3,5,16,12,17,14,11,12,17,4,2,3,6,8,1,1,7,5,7,9,2,48,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th June 2021,Never,201,114,88,8,8,8,17,26,39,104,65,56,34,46,14,6,27,18,24,21,6,16,22,28,14,5,175,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,NET: At least once a day,1659,777,882,279,241,324,281,285,212,277,457,459,339,404,139,61,182,133,146,119,83,155,232,224,136,48,1389,40,710,598
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,10 times or more a day,556,237,319,156,139,139,84,85,44,48,147,166,118,126,49,23,50,41,54,33,14,46,91,93,53,11,483,25,237,206
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,5-9 times a day,392,209,183,60,47,102,71,68,36,56,114,96,88,94,32,14,41,34,37,32,30,36,55,43,28,12,318,5,170,136
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,2-4 times a day,502,224,278,55,50,61,98,108,81,99,136,143,98,126,46,20,53,41,39,38,28,53,66,61,40,19,410,7,214,174
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,About once a day,208,107,102,8,5,21,28,25,51,74,61,55,35,57,13,5,38,18,16,16,11,19,22,28,16,6,178,3,89,82
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,A few times a week,100,55,45,4,4,6,25,24,16,26,25,27,26,22,10,2,7,10,7,12,3,11,10,12,11,4,83,2,42,38
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,About once a week,55,30,25,1,1,2,5,15,7,25,16,18,7,14,4,2,6,3,2,2,3,10,6,10,4,1,47,3,24,17
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,About once a month,14,8,6,1,1,*,1,2,2,8,3,3,5,4,-,2,1,1,4,-,1,1,*,2,2,-,13,-,5,8
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,Less than once a month,40,21,20,-,-,8,4,6,8,15,7,14,4,16,4,4,9,-,2,1,1,2,4,10,4,-,35,-,22,13
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 4th to 6th December 2020,Never,239,140,99,6,5,12,12,30,58,120,65,73,48,52,18,13,28,24,23,17,10,20,24,30,22,10,201,10,103,85
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,NET: At least once a day,1685,802,883,280,238,326,286,286,208,300,462,478,341,404,140,66,194,134,144,120,84,138,240,229,142,54,1407,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,10 times or more a day,615,278,337,153,126,155,110,93,57,48,166,199,114,136,45,26,73,43,38,47,35,49,104,83,55,17,518,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,5-9 times a day,383,186,197,82,72,84,62,71,37,46,102,92,90,99,44,14,35,29,37,26,17,33,53,49,29,17,305,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,2-4 times a day,460,232,228,39,34,71,77,76,74,124,138,120,96,106,37,19,60,39,45,36,17,32,55,67,42,12,395,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,About once a day,228,106,121,6,6,17,38,46,39,83,56,67,41,64,15,7,26,23,24,11,15,24,27,30,17,8,189,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,A few times a week,104,56,47,6,6,10,18,19,23,27,20,35,16,32,7,7,3,5,15,8,5,12,11,20,11,-,92,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,About once a week,41,19,22,1,1,4,3,12,6,16,10,12,11,9,3,2,6,5,4,3,2,5,3,5,3,-,37,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,About once a month,18,10,8,1,1,1,4,3,4,5,8,6,2,3,1,1,1,1,1,1,2,3,2,3,1,1,14,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,Less than once a month,48,20,28,4,4,-,5,9,14,15,11,13,12,12,5,1,4,3,4,2,2,12,1,5,8,1,40,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 15th to 17th January 2021,Never,219,126,92,1,1,11,12,36,50,110,65,52,48,54,21,7,25,24,17,18,6,29,21,28,16,7,185,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,2100,1015,1085,267,236,294,323,383,336,497,613,633,319,535,176,86,203,160,183,166,113,193,307,302,145,66,1745,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,2100,1027,1073,290,248,351,325,361,302,471,571,592,426,510,175,84*,232,171,183,151,100*,198,277,287,179,63*,1762,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,NET: At least once a day,1676,778,899,276,238,336,283,273,214,294,458,482,360,376,142,67,184,130,151,116,82,158,229,225,135,57,1395,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,10 times or more a day,587,249,339,166,141,153,113,64,46,44,160,162,147,118,50,18,80,47,48,37,19,65,91,71,50,13,506,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,5-9 times a day,400,192,207,70,57,80,80,65,43,61,109,123,77,91,30,13,42,36,39,26,23,33,57,55,31,14,332,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,2-4 times a day,467,235,232,36,35,81,65,93,81,111,132,134,92,109,35,26,41,29,47,35,21,40,54,77,35,26,385,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,About once a day,222,102,121,4,4,21,25,50,44,78,56,64,44,59,27,10,20,18,17,19,19,20,28,22,19,4,173,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,A few times a week,84,51,33,6,6,2,7,25,14,31,24,22,15,23,7,3,12,10,8,6,2,7,14,6,7,2,73,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,About once a week,52,31,22,1,1,1,2,13,15,20,14,14,8,16,2,3,5,11,3,1,3,1,5,13,3,1,46,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,About once a month,23,11,12,-,-,-,1,8,4,10,6,4,1,12,1,-,2,1,1,2,*,2,4,7,3,-,21,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,Less than once a month,42,27,15,5,3,-,6,10,8,13,11,5,10,16,*,-,4,1,4,3,3,5,4,8,8,1,37,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,2100,1027,1073,290,248,351,325,361,302,471,571,592,426,510,175,84*,232,171,183,151,100*,198,277,287,179,63*,1762,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th February 2021,Never,223,130,93,1,1,12,26,33,48,103,58,65,33,67,23,10,26,19,16,22,8,24,21,28,24,3,189,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2189,1062,1127,268,237,337,362,371,330,521,627,625,385,552,196,87,242,172,200,169,101,199,293,277,187,66,1826,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,1070,1119,302,261,365,339,376,315,491,595,617,444,532,183,87*,242,178,191,157,104*,206,289,299,187,66*,1837,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 9th to 11th October 2020,NET: At least once a day,1719,801,918,292,252,341,291,284,222,290,475,485,341,417,151,68,187,147,154,122,86,157,228,218,151,50,1432,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 9th to 11th October 2020,10 times or more a day,558,257,301,151,129,136,97,76,49,50,162,154,118,124,44,29,57,44,39,49,26,50,99,61,46,13,475,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 9th to 11th October 2020,5-9 times a day,442,193,250,78,66,97,78,80,46,64,105,124,102,112,38,11,52,44,43,26,21,41,54,61,37,14,370,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 9th to 11th October 2020,2-4 times a day,479,237,242,49,43,75,82,91,80,101,142,132,87,118,51,18,49,42,47,35,27,41,51,63,38,18,384,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 9th to 11th October 2020,About once a day,239,115,125,14,14,33,34,36,47,76,66,76,35,63,17,11,30,17,25,13,13,24,24,32,29,5,204,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 9th to 11th October 2020,A few times a week,109,62,47,3,3,1,16,38,16,35,22,31,28,29,6,5,8,9,4,11,3,10,24,21,6,3,97,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 9th to 11th October 2020,About once a week,46,24,23,3,3,6,3,8,12,14,19,12,8,8,4,2,9,4,2,*,2,1,4,8,8,2,38,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 9th to 11th October 2020,About once a month,24,14,10,1,1,3,4,7,3,6,5,8,6,5,1,-,*,1,4,1,2,2,2,6,5,-,21,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 9th to 11th October 2020,Less than once a month,36,21,14,-,-,1,4,6,12,13,11,14,3,8,5,2,6,2,2,3,1,2,4,7,3,-,30,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,1070,1119,302,261,365,339,376,315,491,595,617,444,532,183,87*,242,178,191,157,104*,206,289,299,187,66*,1837,,,
