table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th December 2020,Strongly agree      (+2),1242,598,644,133,113,166,183,214,198,348,338,347,256,301,102,51,140,107,116,92,52,120,163,163,96,40,1048,18,539,466
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th December 2020,Slightly agree      (+1),413,187,226,88,75,79,70,57,54,65,127,118,69,100,33,18,47,24,31,25,30,36,63,58,39,8,342,16,186,133
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th December 2020,Neither agree nor    (0) disagree,286,162,124,50,45,75,44,59,31,26,56,87,68,75,23,9,31,26,23,23,14,22,32,43,31,9,240,12,110,107
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th December 2020,Slightly disagree   (-1),81,43,39,14,13,15,13,20,8,11,22,19,21,19,6,3,6,9,10,4,2,5,8,14,11,4,70,8,35,25
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th December 2020,Strongly disagree   (-2),85,41,44,6,6,18,16,12,12,21,30,24,14,17,12,3,9,6,4,7,2,15,12,11,3,2,69,1,35,26
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th December 2020,NET: Disagree,166,84,83,20,19,33,29,32,20,32,52,43,35,36,18,6,15,15,14,11,4,20,20,24,14,6,138,9,70,52
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th December 2020,Mean,1.26,1.22,1.29,1.13,1.1,1.02,1.2,1.22,1.38,1.5,1.26,1.25,1.24,1.27,1.17,1.33,1.3,1.27,1.33,1.27,1.29,1.22,1.29,1.21,1.19,1.27,1.26,0.76,1.28,1.3
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,1.08,1.1,1.07,0.99,1.01,1.15,1.12,1.11,1.04,1.02,1.11,1.08,1.09,1.05,1.2,1.05,1.04,1.1,1.04,1.1,0.91,1.21,1.06,1.09,1.04,1.13,1.08,1.11,1.07,1.05
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,1113,1051,292,261,355,355,316,338,508,642,610,367,545,,,,,,,,,,,,,,,,
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,1058,1106,298,264,361,335,372,312,485,589,610,439,526,,,,,,,,,,,,,,,,
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 19th to 21st June 2020,NET: Agree,1815,866,949,235,211,289,276,312,270,434,500,511,368,436,,,,,,,,,,,,,,,,
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 19th to 21st June 2020,Strongly agree      (+2),1445,671,774,165,148,215,202,255,229,379,386,406,297,355,,,,,,,,,,,,,,,,
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 19th to 21st June 2020,Slightly agree      (+1),370,195,175,69,63,74,74,56,41,55,114,104,70,81,,,,,,,,,,,,,,,,
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 19th to 21st June 2020,Neither agree nor    (0) disagree,209,112,97,39,35,57,42,30,22,19,55,55,42,57,,,,,,,,,,,,,,,,
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 19th to 21st June 2020,Slightly disagree   (-1),56,34,22,14,10,7,4,10,8,13,18,19,8,11,,,,,,,,,,,,,,,,
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 19th to 21st June 2020,Strongly disagree   (-2),84,47,37,10,7,9,13,21,12,19,16,25,22,21,,,,,,,,,,,,,,,,
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 19th to 21st June 2020,NET: Disagree,139,80,59,25,17,16,17,30,20,32,33,44,29,32,,,,,,,,,,,,,,,,
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 19th to 21st June 2020,Mean,1.4,1.33,1.47,1.22,1.27,1.33,1.33,1.39,1.5,1.57,1.42,1.39,1.4,1.4,,,,,,,,,,,,,,,,
Table 20,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,1.03,1.08,0.97,1.07,1.01,0.97,1.01,1.11,1,0.98,0.97,1.05,1.06,1.04,,,,,,,,,,,,,,,,
