table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 12th to 15th June 2020,Limiting your contact with other people (including family and friends),377,174,203,48,44,54,56,60,68,91,95,104,78,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 12th to 15th June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,552,277,275,84,66,76,87,89,76,139,143,155,110,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 12th to 15th June 2020,Wearing a face mask/ covering,112,65,47,29,23,20,12,21,14,15,26,39,18,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 12th to 15th June 2020,Staying at home as much as possible,309,138,171,43,37,63,46,48,38,71,92,84,70,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 12th to 15th June 2020,Work from home (if possible),148,91,57,25,22,40,22,17,26,17,52,55,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 12th to 15th June 2020,Not touching your face when outside,106,49,58,17,14,22,20,19,17,11,30,25,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 12th to 15th June 2020,None of these,1,1,-,-,-,-,*,-,-,1,-,-,*,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,1113,1051,292,261,355,355,316,338,508,642,610,367,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,1058,1106,298,264,361,335,372,312,485,589,610,439,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 19th to 21st June 2020,Washing hands regularly and thoroughly,510,214,296,70,67,87,83,82,70,118,134,142,100,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 19th to 21st June 2020,Limiting your contact with other people (including family and friends),356,188,167,40,30,47,57,58,65,89,110,92,59,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 19th to 21st June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,528,257,271,69,58,73,82,113,77,114,125,166,111,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 123,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 19th to 21st June 2020,Wearing a face mask/ covering,119,63,56,20,19,18,27,12,12,31,30,31,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
