table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 132,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
Table 132,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 132,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 6th to 8th November 2020,NET: Closely,1998,968,1030,274,235,335,303,344,290,452,547,569,403,479,162,80,219,161,177,142,96,190,259,277,177,58,1682,,,
Table 132,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 6th to 8th November 2020,Very closely        (+2),1757,824,933,232,199,275,248,311,271,420,482,505,352,418,144,72,193,148,152,121,89,171,205,244,164,55,1469,,,
Table 132,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 6th to 8th November 2020,Fairly closely      (+1),240,143,97,42,36,60,55,33,19,31,65,64,51,61,18,9,26,13,25,21,7,19,54,33,12,3,212,,,
Table 132,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 6th to 8th November 2020,Not very closely    (-1),51,28,23,12,11,13,11,6,3,7,14,14,6,17,3,1,6,6,4,6,4,3,8,7,1,4,41,,,
Table 132,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 6th to 8th November 2020,Not at all closely  (-2),52,31,21,4,4,3,12,11,10,12,11,9,18,14,10,2,7,5,2,4,-,5,10,4,2,1,41,,,
Table 132,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 6th to 8th November 2020,NET: Not closely,103,60,44,16,15,16,23,17,12,19,25,23,24,32,13,3,13,11,6,9,4,8,18,10,3,5,81,,,
Table 132,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 6th to 8th November 2020,Mean,1.71,1.66,1.77,1.68,1.66,1.68,1.58,1.73,1.78,1.79,1.74,1.76,1.67,1.67,1.62,1.76,1.69,1.71,1.75,1.65,1.81,1.76,1.57,1.76,1.87,1.7,1.72,,,
Table 132,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,0.81,0.87,0.74,0.79,0.83,0.74,0.94,0.82,0.78,0.75,0.75,0.72,0.9,0.88,1.02,0.76,0.85,0.87,0.68,0.86,0.63,0.76,0.93,0.69,0.53,0.91,0.79,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,2135,1020,1115,251,219,361,336,354,336,497,627,605,372,531,193,78,207,169,190,165,119,192,303,268,189,62,1761,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,2135,1044,1091,295,254,356,331,367,307,479,581,602,433,519,178,85*,236,174,186,153,101*,201,282,292,182,64*,1792,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th June 2021,NET: Closely,1983,963,1020,273,233,332,296,332,292,459,547,555,404,476,166,78,212,167,178,141,94,189,262,270,168,59,1665,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th June 2021,Very closely        (+2),1634,781,853,201,169,244,244,274,266,405,452,459,330,392,140,67,171,140,146,116,83,158,207,220,133,54,1357,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th June 2021,Fairly closely      (+1),349,182,167,72,65,88,52,59,25,54,95,96,74,84,26,10,42,28,32,25,11,31,55,50,35,5,308,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th June 2021,Not very closely    (-1),82,46,36,16,15,15,20,13,7,10,20,24,19,19,8,7,14,4,5,3,4,5,10,13,5,3,67,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th June 2021,Not at all closely  (-2),70,34,35,5,5,10,15,22,9,10,13,23,11,24,4,-,10,3,2,9,4,7,10,10,9,2,59,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th June 2021,NET: Not closely,152,81,71,22,21,24,35,35,16,20,33,47,29,42,12,7,24,7,8,12,8,12,20,22,14,5,126,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th June 2021,Mean,1.59,1.56,1.62,1.52,1.48,1.52,1.48,1.5,1.73,1.74,1.64,1.57,1.6,1.55,1.62,1.62,1.48,1.71,1.69,1.54,1.62,1.63,1.56,1.57,1.53,1.64,1.58,,,
Table 153,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,0.93,0.95,0.91,0.9,0.93,0.91,1.07,1.09,0.82,0.75,0.84,0.97,0.89,1.01,0.9,0.88,1.05,0.73,0.74,1.04,0.98,0.9,0.94,0.95,1.01,0.97,0.93,,,
