start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Weighted base,150,67,83,14,13,36,35,14,19,32,46,43,30,31,16,9,18,10,15,7,8,14,19,22,9,3,123
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,NET: Closed groups,7,3,4,1,1,2,2,-,-,3,4,1,1,1,-,1,-,-,-,-,-,1,3,2,-,-,7
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,NET: Other online news sources,18,9,9,-,-,7,3,3,1,4,6,5,3,4,-,2,1,4,5,-,-,2,2,2,-,1,17
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,NET: Family/friends/ local ppl,29,10,19,3,3,8,12,3,-,2,9,9,7,4,1,1,5,1,1,3,2,3,5,6,-,1,25
2020-11-06,2020-11-08,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,NET: Traditional media,29,17,12,4,3,6,3,1,4,10,9,9,6,4,3,-,3,1,7,-,4,2,4,3,3,-,22
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Unweighted base,247,100,147,33,31,48,43,48,26,49,86,62,42,57,26,6,21,21,24,19,9,22,40,30,23,6,206
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Weighted base,247,96,151,35,33,45,42,50,24,50,86,56,49,55,24,4,21,22,23,19,10,24,38,29,26,7,206
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Facebook,91,35,56,9,8,31,18,19,6,8,32,24,19,17,9,3,8,5,7,12,7,10,10,10,9,3,73
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Family and friends directly,39,12,27,8,8,5,8,7,3,8,13,5,8,13,3,1,1,5,3,2,5,6,6,5,1,-,30
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Twitter,35,21,14,7,7,4,6,10,5,3,15,6,7,7,3,1,-,1,4,2,2,5,9,4,5,1,29
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Unspecified social media,21,4,17,4,4,2,3,3,3,6,6,3,5,6,2,-,3,2,3,1,-,,2,5,2,1,18
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Search engine (e.g. Google),20,13,7,2,2,5,2,7,2,3,6,5,2,7,,-,3,2,1,1,1,3,6,2,2,-,19
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Websites or apps that bring together news from different news providers,15,5,10,-,-,1,3,2,3,5,8,3,1,2,-,-,1,2,1,-,1,1,2,3,3,1,12
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,People in your local area/neighbourhood,14,6,8,3,3,1,4,1,4,2,6,-,7,2,3,1,2,1,3,-,2,-,2,-,1,-,9
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,BBC - TV,14,6,8,2,2,-,1,2,1,9,6,3,2,2,1,-,1,-,1,1,-,1,4,5,1,-,13
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,ITV,12,3,10,1,1,1,-,3,-,7,3,3,3,3,-,-,1,-,3,2,-,-,3,4,-,-,12
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,“Mid-market tabloids” such as MailOnline or Express ( online ),11,3,8,1,1,-,-,4,3,3,5,4,2,-,1,-,1,-,1,-,-,2,1,2,3,-,10
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Weighted base,247,96,151,35,33,45,42,50,24,50,86,56,49,55,24,4,21,22,23,19,10,24,38,29,26,7,206
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Instagram,9,6,4,5,4,3,1,1,-,-,4,4,-,2,1,-,-,-,1,-,2,-,4,-,1,-,6
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,BBC - Radio,8,4,5,1,-,2,-,4,-,1,3,1,2,4,1,-,-,2,1,2,-,-,1,2,1,-,8
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,Sky,8,5,3,1,1,1,1,3,-,3,5,1,2,1,-,-,1,-,1,-,-,-,4,2,-,-,8
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,YouTube,8,4,4,2,2,1,1,2,1,,3,2,1,2,-,-,2,-,2,-,-,1,2,,-,-,8
2020-12-04,2020-12-06,source_of_claims_about_the_potential_dangers_associated_with_coronavirus_vaccine_reported_as_true,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",7,2,6,2,2,1,-,1,2,1,7,-,-,1,2,-,-,-,-,1,1,-,3,-,-,1,3
