start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Facebook (Facebook and Facebook Messenger),89,40,49,25,25,17,19,11,8,7,28,27,16,17
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,I don't know where the source is from,2,0,2,0,0,0,1,0,0,1,0,1,1,0
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: WhatsApp (WhatsApp and WhatsApp groups),14,7,6,6,5,3,1,1,2,1,8,2,1,3
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Traditional media,26,20,7,3,3,3,2,2,8,9,8,8,7,5
2020-06-05,2020-06-07,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Family/friends/ local ppl,26,12,14,7,5,7,6,3,3,1,9,7,5,6
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,“Broadsheets” such as The Times or Guardian,2,2,0,0,0,0,2,0,0,0,0,0,2,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Channel 4,2,1,1,1,1,0,1,0,0,0,0,0,1,1
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,"Smart speaker (e.g. Amazon Echo, Google Home)",2,2,0,0,0,1,0,1,0,0,2,0,0,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",1,1,1,0,0,1,0,0,0,1,1,0,1,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Advertising,1,1,0,0,0,1,0,0,0,0,1,0,0,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Direct from NHS website/ email/ text/ post,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Direct from Local health service website/ email/ text/ post,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,155,84,71,23,21,38,29,25,21,18,44,43,32,36
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Direct from Local council website/ email/ text/ post,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Direct from World Health Organisation (WHO) website/ email/ text/ post,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Other,10,4,6,0,0,1,2,4,1,1,0,1,0,9
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,“Broadsheets” such as The Times or Guardian ( online ),3,3,0,0,0,0,2,1,0,0,0,0,2,1
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Unweighted base,155,86,69,23,20,36,32,22,23,19,45,46,26,38
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: BBC services,11,3,8,0,0,8,0,2,1,0,1,3,4,3
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Newspapers (printed and online),17,9,7,4,4,1,3,1,2,5,6,1,7,3
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Officials,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Social Media,105,57,48,17,15,29,19,19,11,10,28,34,21,23
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Facebook (Facebook and Facebook Messenger),86,42,44,15,14,22,14,15,10,10,23,27,15,20
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: WhatsApp (WhatsApp and WhatsApp groups),14,10,4,1,0,3,3,3,1,2,2,8,4,0
