start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Smartphone,1789,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Laptop,1438,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Tablet computer (e.g. iPad),1095,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,TV set,900,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Desktop PC,693,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,"Smart speaker (e.g. Amazon Echo, Google Home)",464,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Games console,430,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,E-reader (e.g. Kindle),244,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,"Smart watch (e.g. Apple Watch, Pebble, Samsung, Sony)",169,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Weighted base,2093,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Other portable/ handheld device (e.g. portable games console/ iPod Touch),72,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Netbook,39,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Other device,19,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,"Not applicable, I do not have access to the internet",-,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-05-22,2020-05-24,device_usage_to_connect_to_internet,Don't know,1,-,1,-,-,-,1,-,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,Unweighted base,2125,1067,1058,274,516,606,460,543,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,Weighted base,2125,1039,1086,293,578,599,431,517,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,NET: Used device to connect to internet,2112,1030,1082,287,571,597,431,512,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,Smartphone,1687,839,848,268,481,476,351,379,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,Laptop,1316,650,667,215,408,374,253,281,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,Tablet computer (e.g. iPad),990,459,531,112,297,273,213,208,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,TV set,857,417,440,127,242,245,190,180,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,Desktop PC,706,416,290,81,210,187,148,160,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,"Smart speaker (e.g. Amazon Echo, Google Home)",380,202,177,66,144,93,78,64,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,Games console,347,220,127,97,108,92,70,77,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,E-reader (e.g. Kindle),181,80,100,14,56,40,35,49,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,"Smart watch (e.g. Apple Watch, Pebble, Samsung, Sony)",130,69,61,29,52,28,32,18,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,Weighted base,2125,1039,1086,293,578,599,431,517,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,Other portable/ handheld device (e.g. portable games console/ iPod Touch),49,27,21,16,19,9,8,13,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,Netbook,31,26,6,7,9,7,4,12,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,Other device,16,8,8,-,5,5,2,5,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,"Not applicable, I do not have access to the internet",1,1,-,-,1,-,-,-,,,,,,,,,,,,,
2020-04-03,2020-04-05,device_usage_to_connect_to_internet,Don't know,9,6,3,6,6,,-,3,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,Unweighted base,2127,1045,1082,274,694,595,365,473,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,Weighted base,2127,1040,1087,293,579,600,432,517,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,NET: Used device to connect to internet,2125,1040,1085,292,578,599,432,517,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,Smartphone,1778,876,903,276,489,512,377,400,,,,,,,,,,,,,
