table,question,date,response,I find it hard to know what is true and what is false about Coronavirus,I am trying to avoid news about Coronavirus,The mainstream media is exaggerating the seriousness of Coronavirus,"This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",I am confused about what I should be doing in response to Coronavirus,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Neither agree nor    (0) disagree,,,,,,505,240,265,69,63,99,67,75,86,108,121,154,92,137,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Slightly disagree   (-1),,,,,,558,287,271,77,68,82,84,103,82,129,176,155,114,113,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Strongly disagree   (-2),,,,,,307,177,129,36,33,47,48,61,48,67,97,87,53,70,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Disagree,,,,,,865,465,400,113,100,129,132,164,130,196,273,243,166,183,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Mean,,,,,,,-0.21,,-0.05,-0.03,-0.04,-0.06,-0.17,-0.19,-0.11,-0.26,-0.14,*k,0.02,,,,,,
Table 75,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,,,,,,1.2,1.22,1.17,1.16,1.17,1.18,1.22,1.25,1.19,1.18,1.18,1.17,1.2,1.23,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,,,,,,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,,,,,,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Agree,,,,,,633,275,359,121,113,134,102,112,61,103,163,191,122,156,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Strongly agree      (+2),,,,,,160,75,85,34,32,40,24,27,15,20,44,50,28,38,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Slightly agree      (+1),,,,,,473,199,274,87,81,94,78,85,45,84,119,142,94,118,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Neither agree nor    (0) disagree,,,,,,491,242,248,66,59,91,89,69,65,110,142,124,101,124,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Slightly disagree   (-1),,,,,,532,267,266,58,50,75,82,95,92,130,155,147,107,123,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Strongly disagree   (-2),,,,,,480,261,219,50,45,56,58,91,90,135,121,140,103,115,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Disagree,,,,,,1012,528,485,108,95,132,140,186,182,265,276,287,211,239,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Mean,,,,,,,-0.42,,,0.02,,,,-0.64,-0.58,-0.33,-0.31,-0.38,-0.31,,,,,,
Table 76,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,,,,,,1.25,1.25,1.25,1.28,1.29,1.25,1.2,1.28,1.19,1.19,1.23,1.28,1.24,1.25,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,,,,,,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,,,,,,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Agree,,,,,,436,229,207,72,66,109,69,68,51,67,108,134,93,101,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Strongly agree      (+2),,,,,,130,80,50,20,18,27,22,30,17,14,34,31,32,32,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Slightly agree      (+1),,,,,,306,150,156,53,48,82,47,38,34,53,74,102,61,69,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Neither agree nor    (0) disagree,,,,,,516,256,260,72,67,97,105,69,65,109,120,143,121,133,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Slightly disagree   (-1),,,,,,501,241,259,82,71,82,69,95,66,106,158,135,84,123,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Strongly disagree   (-2),,,,,,684,318,366,68,62,68,88,135,127,196,195,192,135,162,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Disagree,,,,,,1184,559,625,150,134,151,158,231,192,302,353,326,220,285,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Mean,,,,,,,,-0.67,,,,,-0.73,-0.82,-0.87,-0.7,-0.59,-0.53,-0.6,,,,,,
Table 77,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,,,,,,1.24,1.27,1.21,1.21,1.22,1.22,1.21,1.28,1.24,1.16,1.22,1.24,1.27,1.23,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,,,,,,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,,,,,,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Agree,,,,,,1763,853,911,226,205,265,260,313,265,433,484,507,340,432,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Strongly agree      (+2),,,,,,816,369,447,82,75,106,109,161,124,235,216,239,161,200,,,,,,
Table 78,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 17th to 19th April 2020,Slightly agree      (+1),,,,,,947,483,464,144,131,159,152,153,141,199,269,268,179,232,,,,,,
