table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th June 2021,The number of deaths linked to Coronavirus is much lower in reality than is being reported,338,172,167,56,42,60,54,58,43,67,108,94,50,86,36,11,30,30,30,22,20,37,46,38,29,10,273,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th June 2021,The Coronavirus vaccine may reduce fertility,314,132,182,55,47,62,62,50,37,47,98,94,56,65,24,13,32,21,31,15,12,31,51,49,22,12,265,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th June 2021,The flu alone is killing more people than Coronavirus,306,147,159,50,38,58,44,51,39,65,93,74,68,71,32,6,32,33,27,21,17,29,41,38,24,6,251,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th June 2021,The number of cases linked to Coronavirus is much lower in reality than is being reported,295,144,151,44,36,58,50,50,41,53,84,81,55,76,33,8,31,32,24,19,18,26,41,35,21,5,239,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th June 2021,The Coronavirus vaccine will alter human DNA,263,128,135,45,39,53,42,45,30,48,65,80,58,61,16,5,32,21,20,20,10,21,53,33,24,9,229,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th June 2021,The origin or cause of Coronavirus is in some way linked to 5G technology,245,131,114,45,41,49,37,43,32,37,68,70,48,58,25,9,23,21,26,17,7,21,47,27,19,2,210,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th June 2021,Flu and Coronavirus statistics are being combined to make Coronavirus look more harmful than it is,196,92,104,34,29,35,40,27,19,41,56,46,41,55,18,6,21,19,21,16,13,15,28,24,11,6,160,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th June 2021,The Coronavirus vaccine has animal products in them,143,75,68,26,24,34,17,16,17,32,32,35,37,38,11,6,18,9,19,3,7,14,29,13,13,-,126,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th June 2021,Lateral flow tests (LFTs) for Coronavirus contain ethylene oxide and can cause cancer,97,44,52,21,19,20,16,17,7,17,28,22,32,15,8,3,13,11,13,6,2,5,21,12,4,-,87,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th June 2021,The Coronavirus vaccines did not pass any animal trials,94,43,51,18,15,24,18,15,10,9,29,28,20,17,8,1,10,8,7,8,2,9,23,8,8,3,81,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th June 2021,Other,30,19,11,1,1,3,4,9,5,7,7,9,4,9,*,1,5,*,2,3,3,1,1,6,4,2,25,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th June 2021,None of these,1034,491,543,109,96,134,157,200,164,270,257,301,212,265,95,45,122,85,85,87,50,97,105,137,94,31,858,,,
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2069,1054,1015,265,234,351,319,353,311,470,571,623,349,526,183,86,201,177,195,144,95,200,290,276,152,70,1721,48,897,726
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2073,1011,1061,284,245,340,319,360,300,470,563,588,424,498,175,82*,227,171,178,148,95*,193,276,286,180,63*,1740,55*,898,741
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,NET: Any,1272,612,660,190,171,233,212,222,165,250,354,345,276,297,101,49,144,99,122,82,56,109,184,172,113,40,1075,44,533,470
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,There are potential dangers associated with the  Coronavirus vaccination,678,318,360,90,83,124,113,132,86,133,200,185,156,137,64,24,78,54,67,42,31,56,99,91,51,22,562,19,290,243
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,Face masks/coverings offer no protection or are harmful,544,239,305,76,66,93,96,108,69,101,151,127,127,139,51,18,66,43,47,33,28,43,84,69,51,11,454,7,237,202
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,The number of deaths linked to Coronavirus is much lower in reality than is being reported,489,206,282,68,62,95,81,77,65,103,133,121,115,119,31,22,54,38,49,32,19,51,76,64,40,13,426,13,224,182
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,The flu alone is killing more people than Coronavirus,478,217,261,55,51,87,91,74,68,103,129,127,100,121,42,24,53,35,49,31,18,48,68,61,35,14,404,11,203,185
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,The number of cases linked to Coronavirus is much lower in reality than is being reported,380,170,210,52,46,68,63,71,51,75,101,97,83,100,25,10,35,34,34,36,17,40,60,51,28,10,328,8,180,132
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,The origin or cause of Coronavirus is in some way linked to 5G technology,338,183,155,45,43,78,48,72,33,63,94,96,68,80,33,8,44,22,24,17,16,28,59,47,30,10,280,18,146,104
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,Flu and Coronavirus statistics are being combined to make Coronavirus look more harmful than it is,337,156,181,39,37,71,56,56,47,69,100,76,84,77,27,9,33,32,29,19,18,29,64,47,24,7,285,7,154,121
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,The Coronavirus test which shows if you currently have the virus does not work and 93% of tests produce a false positive,240,101,140,32,26,51,32,49,40,37,76,53,49,62,22,6,34,19,26,11,14,13,36,38,18,6,199,5,103,90
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,The common cold can produce a positive Coronavirus test,183,77,107,31,30,49,26,35,16,26,45,43,47,48,19,11,12,12,17,14,7,16,30,27,17,3,154,11,72,68
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,Inhaling steam helps to treat or eliminate Coronavirus,76,46,30,17,15,14,15,13,3,14,30,18,12,16,4,1,4,6,5,3,4,8,25,6,7,3,65,5,44,16
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,Other,46,14,32,7,6,4,5,15,7,8,13,16,11,6,6,2,6,3,1,1,3,4,3,8,6,2,35,6,19,7
Table 97,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 4th to 6th December 2020,None of these,801,399,402,94,74,107,107,138,135,220,209,243,148,201,74,33,82,72,56,66,39,84,92,114,67,23,665,11,365,271
