table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,People in your local area/neighbourhood,14,6,8,3,3,1,4,1,4,2,6,-,7,2,3,1,2,1,3,-,2,-,2,-,1,-,9,-,7,3
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,BBC - TV,14,6,8,2,2,-,1,2,1,9,6,3,2,2,1,-,1,-,1,1,-,1,4,5,1,-,13,1,9,3
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,ITV,12,3,10,1,1,1,-,3,-,7,3,3,3,3,-,-,1,-,3,2,-,-,3,4,-,-,12,-,7,6
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,“Mid-market tabloids” such as MailOnline or Express ( online ),11,3,8,1,1,-,-,4,3,3,5,4,2,-,1,-,1,-,1,-,-,2,1,2,3,-,10,2,7,2
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,247,96*,151,35**,33**,45*,42*,50*,24**,50*,86*,56*,49*,55*,24**,4**,21**,22**,23**,19**,10**,24**,38*,29**,26**,7**,206,9**,113*,81*
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Instagram,9,6,4,5,4,3,1,1,-,-,4,4,-,2,1,-,-,-,1,-,2,-,4,-,1,-,6,2,4,1
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,BBC - Radio,8,4,5,1,-,2,-,4,-,1,3,1,2,4,1,-,-,2,1,2,-,-,1,2,1,-,8,-,3,4
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Sky,8,5,3,1,1,1,1,3,-,3,5,1,2,1,-,-,1,-,1,-,-,-,4,2,-,-,8,1,5,2
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,YouTube,8,4,4,2,2,1,1,2,1,*,3,2,1,2,-,-,2,-,2,-,-,1,2,*,-,-,8,-,5,3
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",7,2,6,2,2,1,-,1,2,1,7,-,-,1,2,-,-,-,-,1,1,-,3,-,-,1,3,-,3,1
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Direct from UK Government website/ email/ text/ post,7,1,6,1,1,1,-,1,-,4,4,1,2,1,-,-,2,1,2,-,-,-,2,-,1,-,7,-,3,4
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Email,7,3,4,2,2,1,-,2,-,2,4,*,-,3,1,-,-,-,1,-,2,-,3,1,-,-,4,2,2,-
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Direct from NHS website/ email/ text/ post,7,1,6,-,-,*,-,3,-,4,3,2,1,1,*,-,-,1,2,-,-,-,2,1,1,-,7,-,4,3
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,WhatsApp,7,4,2,2,2,2,1,1,1,-,4,-,2,1,-,-,-,1,2,-,-,-,4,-,-,-,7,-,4,3
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Commercial Radio,7,3,3,-,-,1,-,2,1,3,2,1,2,2,-,-,-,-,-,-,-,-,1,5,*,-,7,-,7,-
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,BBC - Online/ app,6,2,5,-,-,2,-,5,-,-,1,4,2,-,-,-,-,-,2,-,-,-,3,-,2,-,6,-,5,2
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,247,96*,151,35**,33**,45*,42*,50*,24**,50*,86*,56*,49*,55*,24**,4**,21**,22**,23**,19**,10**,24**,38*,29**,26**,7**,206,9**,113*,81*
Table 102,Q10e. Source of claims about the potential dangers associated with Coronavirus vaccine reported as true,ONLINE Fieldwork: 4th to 6th December 2020,WhatsApp group(s),6,4,2,1,1,-,1,2,1,2,5,1,-,1,1,-,-,-,1,1,-,-,1,2,-,-,5,-,4,1
