table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 311,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-,,,
Table 311,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**,,,
Table 311,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Agree,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,50,46,43,82,37,30,180,332,219,136,396,478,415,450,455,478,-,,,
Table 311,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly agree      (+2),91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,14,16,22,9,10,38,63,49,25,69,91,81,87,87,91,-,,,
Table 311,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly agree      (+1),387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,39,32,27,60,28,20,142,269,171,110,327,387,334,363,368,387,-,,,
Table 311,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Neither agree nor    (0) disagree,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,39,30,29,42,25,24,122,172,146,82,267,-,370,384,403,416,-,,,
Table 311,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly disagree   (-1),593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,31,29,23,66,24,24,183,166,169,102,484,-,547,567,576,593,-,,,
Table 311,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly disagree   (-2),604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,45,34,34,77,31,23,201,111,164,123,523,-,544,573,587,604,-,,,
Table 311,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Disagree,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,76,63,57,143,55,47,384,276,332,225,1006,-,1091,1140,1163,1197,-,,,
Table 311,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.54,0.01,,,-0.64,1.19,-0.61,-0.6,-0.6,-0.59,-,,,
Table 311,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.29,1.32,1.38,1.33,1.31,1.29,1.26,1.2,1.27,1.28,1.22,0.39,1.2,1.21,1.2,1.2,-,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 5th to 7th June 2020,NET: Agree,523,230,293,90,82,100,86,83,62,102,148,151,85,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 5th to 7th June 2020,Strongly agree      (+2),87,43,43,21,20,12,17,16,7,15,21,22,11,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 5th to 7th June 2020,Slightly agree      (+1),436,187,249,69,62,88,69,68,55,88,127,129,75,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 5th to 7th June 2020,Neither agree nor    (0) disagree,415,203,213,65,55,85,60,75,49,81,77,112,92,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 5th to 7th June 2020,Slightly disagree   (-1),652,332,319,82,70,104,97,116,112,139,181,197,142,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
