table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),16-24 (d),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 12th to 14th February 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 12th to 14th February 2021,Mean,3.55,4,3,4,-,3,-,4,4,3,4,-,-,-,-,-,-,-,-,-,-,-,-,3.55,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 12th to 14th February 2021,Standard deviation Standard error,0.58,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.58,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,7,2,5,1,-,2,2,2,5,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,8**,3**,5**,1**,-**,2**,2**,3**,6**,-**,-**,2**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 7th to 9th August 2020,NET: Trust,7,3,4,1,-,1,2,3,4,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 7th to 9th August 2020,5 - Trust completely,1,-,1,-,-,-,1,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 7th to 9th August 2020,4,5,3,3,1,-,1,1,3,3,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 7th to 9th August 2020,3,1,-,1,-,-,1,-,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 7th to 9th August 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 7th to 9th August 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 7th to 9th August 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 7th to 9th August 2020,Mean,4,4,4.01,4,-,3.35,4.57,4,4.01,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 7th to 9th August 2020,Standard deviation Standard error,0.62,0,0.79,-,-,0.67,0.66,0,0.74,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,5,3,2,-,1,1,1,2,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,4**,3**,2**,-**,1**,1**,1**,2**,3**,2**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,4**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 9th to 11th October 2020,NET: Trust,2,2,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 9th to 11th October 2020,5 - Trust completely,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 9th to 11th October 2020,4,2,2,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 9th to 11th October 2020,3,3,1,2,-,1,-,-,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 9th to 11th October 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 9th to 11th October 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 9th to 11th October 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 9th to 11th October 2020,Mean,3.37,3.64,3,-,3,4,4,3,3.29,3.48,-,-,-,-,-,-,-,-,-,-,-,-,-,3.37,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 9th to 11th October 2020,Standard deviation Standard error,0.55,0.62,-,-,-,-,-,-,0.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.55,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
