table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2069,1054,1015,265,234,351,319,353,311,470,571,623,349,526,183,86,201,177,195,144,95,200,290,276,152,70,1721,48,897,726
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2073,1011,1061,284,245,340,319,360,300,470,563,588,424,498,175,82*,227,171,178,148,95*,193,276,286,180,63*,1740,55*,898,741
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th December 2020,NET: Top 2 box,238,112,126,60,52,77,31,27,21,22,69,51,49,69,17,9,27,18,29,14,11,9,46,34,18,4,205,15,84,95
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th December 2020,5 - Relying completely on people I know/people in my local area/people on social media,59,25,34,14,13,21,9,5,3,6,20,9,13,17,2,2,7,2,12,2,4,1,18,6,3,-,53,4,20,25
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th December 2020,4,179,87,92,46,39,55,23,22,17,16,49,42,36,52,15,7,20,16,17,12,7,7,29,29,15,4,152,10,64,70
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th December 2020,3,645,301,344,103,89,133,105,112,80,111,154,191,137,162,46,26,85,44,59,55,24,68,84,91,47,16,558,12,286,237
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th December 2020,2,635,294,341,86,75,76,99,138,96,141,170,188,140,136,54,23,57,58,50,40,35,66,67,97,67,21,525,17,284,220
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th December 2020,1 - Relying completely on media/official sources,555,304,250,35,30,54,83,83,103,196,169,157,98,131,57,23,58,51,40,38,25,51,79,63,48,22,451,12,244,189
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th December 2020,NET: Bottom 2 box,1190,598,592,121,105,131,182,221,199,337,340,345,238,267,112,46,115,109,90,78,60,117,146,160,115,42,976,29,529,409
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th December 2020,Mean,2.3,2.24,2.36,2.71,2.71,2.74,2.3,2.25,2.07,1.93,2.25,2.25,2.35,2.37,2.14,2.29,2.39,2.18,2.5,2.32,2.27,2.18,2.42,2.36,2.21,2.04,2.33,2.61,2.26,2.36
