table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 3rd to 5th April 2020,1 - Do not trust at all,2,*,2,-,-,-,2,*,-,-,2,-,-,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Do not trust,27,10,17,6,6,6,3,3,4,5,9,8,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,3.65,3.63,3.68,3.37,3.36,3.63,3.6,3.66,3.74,3.79,3.58,3.49,3.93,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.89,0.8,1.01,0.9,0.92,0.97,0.91,0.88,0.88,0.86,0.94,0.82,0.82,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,271,149,122,25,24,40,48,59,44,55,101,76,49,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,270,148,122,23**,23**,37*,54*,60*,42*,53*,86*,74*,60*,50*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 7th to 10th May 2020,NET: Trust,144,76,68,12,12,21,31,33,15,32,45,40,34,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 7th to 10th May 2020,5 - Trust completely,37,21,15,3,3,7,11,6,6,4,9,7,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 7th to 10th May 2020,4,107,55,53,9,9,15,20,27,9,28,36,33,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 7th to 10th May 2020,3,98,56,42,10,9,14,12,22,22,17,31,29,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 7th to 10th May 2020,2,26,16,10,2,2,1,9,6,5,2,9,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 7th to 10th May 2020,1 - Do not trust at all,3,-,3,-,-,-,2,-,-,1,1,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 7th to 10th May 2020,NET: Do not trust,28,16,13,2,2,1,11,6,5,4,11,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 7th to 10th May 2020,Mean,3.55,3.56,3.55,3.58,3.59,3.72,3.54,3.54,3.39,3.58,3.49,3.56,3.61,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,0.88,0.87,0.9,0.84,0.84,0.81,1.1,0.81,0.87,0.8,0.88,0.75,0.91,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,241,129,112,24,23,30,46,51,50,40,55,73,57,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,240,124,115*,28**,27**,34**,48*,53*,43*,34*,54*,73*,61*,51*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 24th to 26th April 2020,NET: Trust,152,87,65,17,17,21,33,31,32,19,35,44,39,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
